orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10459,2022-01-16,2022-02-11,2022-01-20,Shipped,Hold for customer confirmation.,21540
10460,2022-05-16,2022-06-15,2022-05-23,Shipped,,22101
10461,2022-11-12,2022-12-03,2022-11-17,Resolved,,22616
10462,2026-02-04,2026-02-17,2026-02-11,Shipped,,21357
10463,2026-02-20,2026-03-21,2026-02-23,Disputed,Call before delivery.,23638
10464,2026-07-19,2026-08-10,2026-07-20,Shipped,,22116
10465,2025-01-19,2025-02-03,,Cancelled,Special discount applied.,24641
10466,2023-06-16,2023-07-05,2023-06-24,Shipped,Verified credit before processing.,22089
10467,2023-12-06,2023-12-17,,In Process,Call before delivery.,20072
10468,2022-03-18,2022-04-07,2022-03-25,Shipped,Check stock before processing.,21295
10469,2022-12-19,2022-12-26,2022-12-24,Resolved,Gift wrapping requested.,20333
10470,2025-05-10,2025-05-20,2025-05-19,Shipped,Replacement for damaged order.,22635
10471,2024-07-21,2024-08-07,,Cancelled,Customer will pick up at warehouse.,20340
10472,2025-08-19,2025-09-09,2025-08-23,Resolved,Backorder — ship when available.,22168
10473,2022-05-21,2022-06-19,2022-05-30,Resolved,Special discount applied.,22525
10474,2023-01-12,2023-02-06,,On Hold,,23830
10475,2025-07-19,2025-08-03,2025-07-28,Shipped,,24882
10476,2022-01-04,2022-01-26,,In Process,,20183
10477,2023-12-18,2024-01-08,2023-12-24,Disputed,,21628
10478,2023-12-13,2024-01-05,,Cancelled,Gift wrapping requested.,20808
10479,2022-11-12,2022-12-07,,On Hold,,24641
10480,2024-05-13,2024-06-12,2024-05-19,Shipped,,20391
10481,2023-03-26,2023-04-15,2023-04-03,Disputed,International shipment — customs docs needed.,22231
10482,2023-03-02,2023-03-26,2023-03-05,Resolved,Gift wrapping requested.,22620
10483,2022-07-25,2022-08-11,2022-08-02,Shipped,Verified credit before processing.,24935
10484,2024-01-18,2024-02-09,2024-01-21,Resolved,Gift wrapping requested.,20220
10485,2022-02-22,2022-03-12,2022-02-26,Shipped,International shipment — customs docs needed.,23964
10486,2025-06-18,2025-07-06,2025-06-28,Disputed,Customer will pick up at warehouse.,20763
10487,2024-01-13,2024-02-09,2024-01-23,Resolved,,23658
10488,2023-01-22,2023-02-03,2023-01-31,Disputed,Customer requested expedited shipping.,23928
10489,2022-07-22,2022-08-16,2022-07-24,Shipped,Hold for customer confirmation.,24157
10490,2023-04-18,2023-05-04,2023-04-23,Shipped,,21686
10491,2026-04-08,2026-05-01,,Cancelled,,20129
10492,2023-08-16,2023-08-31,2023-08-25,Shipped,,24797
10493,2024-03-23,2024-04-14,2024-03-28,Shipped,,20235
10494,2023-10-12,2023-11-01,2023-10-20,Shipped,Please ship as soon as possible.,21971
10495,2024-09-11,2024-10-11,2024-09-15,Disputed,,22481
10496,2025-11-09,2025-11-20,2025-11-18,Shipped,Partial shipment approved by customer.,23956
10497,2024-07-11,2024-08-01,2024-07-19,Shipped,,22009
10498,2023-06-24,2023-07-14,2023-07-04,Shipped,Backorder — ship when available.,20552
10499,2023-08-13,2023-08-28,2023-08-15,Shipped,,22991
10500,2022-11-19,2022-11-30,2022-11-20,Disputed,Replacement for damaged order.,23834
10501,2024-11-04,2024-11-28,2024-11-07,Resolved,,22855
10502,2023-01-24,2023-02-09,2023-02-02,Resolved,,23052
10503,2024-12-30,2025-01-08,2025-01-07,Resolved,,20005
10504,2022-10-05,2022-11-02,,Cancelled,Customer requested expedited shipping.,24448
10505,2023-08-31,2023-09-24,2023-09-10,Shipped,,22904
10506,2025-08-19,2025-09-12,2025-08-20,Disputed,,24528
10507,2024-01-23,2024-02-09,2024-01-25,Shipped,Priority customer — rush order.,24483
10508,2023-09-28,2023-10-06,,On Hold,Please ship as soon as possible.,21679
10509,2023-05-04,2023-05-20,2023-05-14,Shipped,Please ship as soon as possible.,22218
10510,2024-02-28,2024-03-27,,In Process,Special discount applied.,20974
10511,2022-08-08,2022-08-25,2022-08-09,Shipped,Please ship as soon as possible.,20170
10512,2024-08-27,2024-09-11,2024-08-31,Shipped,,22228
10513,2023-05-29,2023-06-05,2023-06-08,Shipped,,21107
10514,2024-02-27,2024-03-20,,Cancelled,,23454
10515,2023-03-12,2023-04-07,,In Process,Customer will pick up at warehouse.,24758
10516,2024-08-16,2024-09-08,2024-08-21,Shipped,Verified credit before processing.,21919
10517,2025-12-14,2025-12-27,2025-12-22,Shipped,Check stock before processing.,23486
10518,2024-03-08,2024-03-23,2024-03-12,Disputed,,24756
10519,2023-03-21,2023-04-20,2023-03-29,Resolved,Please ship as soon as possible.,23232
10520,2025-04-08,2025-04-20,2025-04-18,Disputed,,21300
10521,2024-07-07,2024-07-29,2024-07-16,Shipped,International shipment — customs docs needed.,24951
10522,2023-03-31,2023-04-10,,Cancelled,,22143
10523,2025-05-18,2025-06-17,2025-05-27,Shipped,Priority customer — rush order.,20886
10524,2026-06-12,2026-07-05,2026-06-22,Shipped,Check stock before processing.,20122
10525,2022-07-23,2022-08-11,,Cancelled,,24500
10526,2023-11-26,2023-12-19,2023-12-01,Shipped,,23324
10527,2025-05-07,2025-05-26,2025-05-17,Shipped,Check stock before processing.,21238
10528,2025-10-03,2025-10-23,2025-10-12,Shipped,,22730
10529,2024-01-17,2024-02-13,2024-01-27,Shipped,Call before delivery.,20277
10530,2025-06-28,2025-07-25,,On Hold,Partial shipment approved by customer.,23263
10531,2022-09-27,2022-10-25,2022-09-28,Shipped,,20188
10532,2022-07-19,2022-08-18,2022-07-26,Disputed,Customer will pick up at warehouse.,24967
10533,2025-10-27,2025-11-04,2025-10-31,Shipped,Fragile items — handle with care.,24918
10534,2022-04-18,2022-05-07,2022-04-24,Resolved,Check stock before processing.,24901
10535,2023-01-26,2023-02-15,2023-02-02,Shipped,Hold for customer confirmation.,21870
10536,2024-01-08,2024-01-23,,Cancelled,Hold for customer confirmation.,23483
10537,2022-07-05,2022-07-24,2022-07-08,Shipped,Check stock before processing.,24060
10538,2026-04-23,2026-05-22,2026-04-25,Shipped,Special discount applied.,21358
10539,2025-09-21,2025-10-13,2025-09-25,Shipped,Customer requested expedited shipping.,20619
10540,2022-11-03,2022-11-30,,Cancelled,Verified credit before processing.,20502
10541,2023-08-30,2023-09-24,2023-09-06,Shipped,Backorder — ship when available.,22255
10542,2026-06-02,2026-06-15,2026-06-10,Shipped,Customer will pick up at warehouse.,20355
10543,2023-06-09,2023-07-05,2023-06-11,Shipped,Gift wrapping requested.,23957
10544,2026-03-27,2026-04-24,2026-04-03,Shipped,Special discount applied.,22308
10545,2024-01-19,2024-01-28,,On Hold,Please ship as soon as possible.,24757
10546,2022-03-03,2022-03-18,,Cancelled,Please ship as soon as possible.,21409
10547,2023-07-29,2023-08-26,2023-08-03,Resolved,International shipment — customs docs needed.,23812
10548,2026-03-25,2026-04-16,2026-04-03,Shipped,Check stock before processing.,20495
10549,2023-12-17,2023-12-29,2023-12-25,Shipped,Replacement for damaged order.,21341
10550,2024-05-29,2024-06-28,,On Hold,,21731
10551,2026-07-12,2026-07-19,,In Process,Replacement for damaged order.,23864
10552,2022-11-19,2022-12-02,2022-11-28,Shipped,Check stock before processing.,22983
10553,2023-02-12,2023-02-28,2023-02-14,Resolved,,23696
10554,2023-07-14,2023-07-31,,In Process,Priority customer — rush order.,20584
10555,2024-06-03,2024-06-19,2024-06-08,Resolved,,20307
10556,2022-03-01,2022-03-14,,In Process,Customer requested expedited shipping.,20359
10557,2026-06-14,2026-06-28,,Cancelled,Check stock before processing.,20540
10558,2022-08-02,2022-08-11,2022-08-07,Shipped,,23719
10559,2022-07-13,2022-08-05,,Cancelled,Partial shipment approved by customer.,23497
10560,2025-12-12,2026-01-08,2025-12-19,Disputed,Call before delivery.,20699
10561,2025-12-28,2026-01-12,,On Hold,Priority customer — rush order.,24276
10562,2023-02-06,2023-03-07,,In Process,,23058
10563,2022-05-09,2022-05-19,2022-05-16,Shipped,Priority customer — rush order.,23837
10564,2022-01-26,2022-02-07,,On Hold,Replacement for damaged order.,23389
10565,2026-05-03,2026-05-23,2026-05-13,Resolved,,23581
10566,2023-01-06,2023-01-16,2023-01-11,Resolved,,22808
10567,2025-11-26,2025-12-03,2025-12-01,Shipped,Fragile items — handle with care.,20454
10568,2025-02-25,2025-03-05,2025-03-06,Shipped,,23353
10569,2024-02-14,2024-03-01,2024-02-23,Shipped,Hold for customer confirmation.,22758
10570,2024-03-04,2024-03-28,2024-03-10,Shipped,Please ship as soon as possible.,22458
10571,2025-02-21,2025-03-10,,In Process,,23534
10572,2023-01-31,2023-02-27,2023-02-08,Shipped,,24009
10573,2022-08-30,2022-09-13,2022-09-01,Shipped,International shipment — customs docs needed.,23329
10574,2023-01-05,2023-01-17,2023-01-13,Shipped,Hold for customer confirmation.,24794
10575,2025-09-25,2025-10-24,,Cancelled,Backorder — ship when available.,22446
10576,2023-05-29,2023-06-06,2023-06-06,Shipped,Backorder — ship when available.,20990
10577,2022-09-07,2022-09-22,,In Process,Gift wrapping requested.,23875
10578,2022-06-22,2022-07-01,2022-07-01,Shipped,Call before delivery.,21914
10579,2022-01-18,2022-02-09,,On Hold,,24790
10580,2022-07-27,2022-08-26,2022-07-28,Shipped,Special discount applied.,24523
10581,2024-04-27,2024-05-23,2024-04-30,Shipped,,21907
10582,2023-04-29,2023-05-16,2023-05-06,Shipped,,20957
10583,2022-05-20,2022-06-06,,Cancelled,,22125
10584,2024-07-30,2024-08-12,2024-08-02,Shipped,,24025
10585,2024-03-14,2024-03-29,,In Process,,20462
10586,2024-10-26,2024-11-06,2024-11-04,Shipped,Please ship as soon as possible.,21377
10587,2026-03-16,2026-04-06,2026-03-20,Resolved,Hold for customer confirmation.,21168
10588,2025-07-18,2025-08-03,2025-07-23,Shipped,Verified credit before processing.,23701
10589,2024-01-11,2024-02-04,,On Hold,Hold for customer confirmation.,22741
10590,2022-07-17,2022-07-25,,In Process,Customer requested expedited shipping.,23156
10591,2025-11-13,2025-11-23,2025-11-23,Disputed,Gift wrapping requested.,21214
10592,2026-02-10,2026-02-27,2026-02-14,Shipped,,24138
10593,2025-03-18,2025-03-27,2025-03-22,Shipped,,21473
10594,2025-01-22,2025-02-13,2025-01-23,Resolved,Customer requested expedited shipping.,21952
10595,2025-03-10,2025-03-19,2025-03-13,Shipped,Please ship as soon as possible.,24807
10596,2022-10-17,2022-11-12,2022-10-18,Shipped,,24554
10597,2023-03-23,2023-04-10,2023-03-26,Resolved,Gift wrapping requested.,20070
10598,2023-02-17,2023-03-10,2023-02-27,Shipped,Hold for customer confirmation.,21332
10599,2024-11-24,2024-12-09,,In Process,,20787
10600,2024-02-29,2024-03-14,2024-03-06,Disputed,Customer requested expedited shipping.,22624
10601,2022-01-02,2022-01-09,2022-01-03,Shipped,,21810
10602,2023-03-16,2023-03-31,2023-03-22,Shipped,,20347
10603,2026-04-27,2026-05-04,2026-05-04,Shipped,Fragile items — handle with care.,24524
10604,2022-08-21,2022-09-07,2022-08-23,Disputed,,20504
10605,2025-05-02,2025-05-27,,On Hold,Hold for customer confirmation.,23101
10606,2023-04-29,2023-05-18,2023-05-04,Shipped,Replacement for damaged order.,24687
10607,2022-02-12,2022-02-28,,In Process,,22109
10608,2024-09-11,2024-09-21,2024-09-14,Shipped,,24034
10609,2025-05-05,2025-05-21,,In Process,,20096
10610,2024-04-29,2024-05-24,2024-05-06,Shipped,,20873
10611,2024-01-19,2024-02-08,,On Hold,,23172
10612,2022-02-08,2022-02-26,2022-02-18,Resolved,Customer will pick up at warehouse.,23344
10613,2025-09-10,2025-09-18,2025-09-19,Resolved,Special discount applied.,22563
10614,2023-11-26,2023-12-15,2023-12-01,Shipped,Priority customer — rush order.,20166
10615,2023-12-05,2023-12-17,,On Hold,Hold for customer confirmation.,23369
10616,2023-08-03,2023-08-26,,In Process,Fragile items — handle with care.,23519
10617,2026-05-16,2026-06-09,2026-05-19,Shipped,Call before delivery.,21242
10618,2022-12-02,2022-12-26,2022-12-05,Shipped,,24994
10619,2023-12-28,2024-01-19,2024-01-06,Shipped,Partial shipment approved by customer.,21721
10620,2026-01-17,2026-01-24,2026-01-24,Shipped,Please ship as soon as possible.,24228
10621,2024-10-24,2024-10-31,2024-11-03,Shipped,International shipment — customs docs needed.,21384
10622,2023-03-03,2023-03-16,,Cancelled,Backorder — ship when available.,23473
10623,2022-02-23,2022-03-09,2022-02-25,Shipped,,23646
10624,2022-08-30,2022-09-09,2022-09-09,Shipped,,20185
10625,2025-11-22,2025-12-20,,Cancelled,Hold for customer confirmation.,21486
10626,2023-05-28,2023-06-17,2023-06-01,Shipped,Replacement for damaged order.,20204
10627,2025-07-20,2025-08-07,2025-07-25,Shipped,Check stock before processing.,22314
10628,2025-12-15,2025-12-31,2025-12-16,Shipped,Customer requested expedited shipping.,24709
10629,2025-03-21,2025-04-20,2025-03-24,Resolved,,21012
10630,2022-11-17,2022-12-13,,On Hold,Priority customer — rush order.,24006
10631,2024-03-10,2024-03-22,2024-03-17,Shipped,Check stock before processing.,24197
10632,2023-06-07,2023-06-21,2023-06-10,Shipped,Verified credit before processing.,21135
10633,2022-08-13,2022-09-04,2022-08-23,Shipped,Check stock before processing.,22727
10634,2022-09-11,2022-09-19,2022-09-15,Shipped,,23268
10635,2026-05-08,2026-05-26,2026-05-10,Disputed,Hold for customer confirmation.,24393
10636,2023-01-14,2023-02-12,2023-01-20,Shipped,Special discount applied.,22717
10637,2022-10-18,2022-10-25,,In Process,Gift wrapping requested.,23934
10638,2024-03-10,2024-04-01,2024-03-13,Shipped,Hold for customer confirmation.,20408
10639,2022-05-20,2022-06-06,,On Hold,,22236
10640,2022-10-22,2022-11-20,2022-10-24,Shipped,,24719
10641,2022-05-17,2022-06-03,2022-05-24,Shipped,,21232
10642,2022-06-28,2022-07-17,2022-06-30,Shipped,,24576
10643,2023-11-13,2023-12-09,2023-11-15,Shipped,,21569
10644,2025-12-09,2026-01-07,,On Hold,Please ship as soon as possible.,24050
10645,2023-12-23,2024-01-02,2024-01-01,Shipped,Please ship as soon as possible.,21839
10646,2025-09-01,2025-09-30,2025-09-02,Resolved,Special discount applied.,20880
10647,2024-05-18,2024-06-10,2024-05-19,Shipped,,23783
10648,2024-04-26,2024-05-03,,In Process,,21923
10649,2026-06-05,2026-06-25,,In Process,,22023
10650,2022-05-23,2022-06-10,,On Hold,Partial shipment approved by customer.,23371
10651,2022-12-27,2023-01-06,2023-01-05,Shipped,Partial shipment approved by customer.,23306
10652,2022-02-26,2022-03-22,2022-03-06,Shipped,,20178
10653,2025-05-17,2025-06-05,,On Hold,,20832
10654,2024-03-09,2024-03-16,,In Process,Backorder — ship when available.,24097
10655,2022-10-11,2022-10-26,,In Process,,21481
10656,2023-06-22,2023-07-05,2023-06-28,Shipped,,20921
10657,2024-02-24,2024-03-15,2024-02-25,Shipped,Backorder — ship when available.,22948
10658,2026-03-22,2026-04-06,,In Process,Partial shipment approved by customer.,21151
10659,2025-01-01,2025-01-08,,In Process,Special discount applied.,21946
10660,2025-07-23,2025-08-03,2025-07-25,Shipped,International shipment — customs docs needed.,23813
10661,2023-08-29,2023-09-16,2023-08-30,Shipped,International shipment — customs docs needed.,23688
10662,2025-02-14,2025-03-13,,In Process,Fragile items — handle with care.,23560
10663,2025-12-27,2026-01-19,,Cancelled,Partial shipment approved by customer.,21616
10664,2023-03-07,2023-03-29,2023-03-11,Resolved,Partial shipment approved by customer.,22098
10665,2025-02-12,2025-03-10,,In Process,Backorder — ship when available.,23324
10666,2022-02-11,2022-02-20,,In Process,Customer will pick up at warehouse.,21896
10667,2026-06-22,2026-07-22,2026-06-30,Shipped,Priority customer — rush order.,22434
10668,2022-09-20,2022-10-10,2022-09-24,Shipped,,23311
10669,2022-04-20,2022-05-14,2022-04-27,Shipped,Customer will pick up at warehouse.,23626
10670,2025-07-27,2025-08-26,2025-08-03,Shipped,Customer will pick up at warehouse.,21239
10671,2025-04-30,2025-05-23,2025-05-04,Shipped,International shipment — customs docs needed.,24242
10672,2022-03-25,2022-04-18,2022-03-29,Disputed,International shipment — customs docs needed.,22107
10673,2025-10-04,2025-10-16,2025-10-14,Shipped,Check stock before processing.,24550
10674,2026-04-28,2026-05-22,2026-04-30,Shipped,Call before delivery.,22603
10675,2026-03-04,2026-03-19,2026-03-09,Shipped,Customer requested expedited shipping.,24933
10676,2023-05-03,2023-05-20,2023-05-06,Shipped,,23354
10677,2024-12-07,2024-12-25,2024-12-08,Shipped,Customer will pick up at warehouse.,24879
10678,2022-05-22,2022-05-31,2022-05-23,Shipped,Customer will pick up at warehouse.,20115
10679,2022-05-23,2022-06-07,,On Hold,Gift wrapping requested.,24721
10680,2026-02-22,2026-03-12,2026-02-28,Shipped,Backorder — ship when available.,22467
10681,2024-09-18,2024-10-08,,On Hold,Verified credit before processing.,24360
10682,2024-08-27,2024-09-16,2024-09-06,Disputed,,20660
10683,2022-11-07,2022-11-26,2022-11-17,Shipped,Verified credit before processing.,22683
10684,2025-04-28,2025-05-22,2025-05-01,Shipped,,23520
10685,2026-04-23,2026-05-12,,Cancelled,Customer requested expedited shipping.,24205
10686,2025-11-21,2025-12-07,2025-11-25,Resolved,Customer will pick up at warehouse.,23030
10687,2026-01-22,2026-02-12,2026-01-30,Shipped,,21547
10688,2023-10-04,2023-10-19,2023-10-12,Disputed,,24852
10689,2026-03-26,2026-04-13,2026-03-30,Shipped,Gift wrapping requested.,21562
10690,2024-01-26,2024-02-07,,Cancelled,Please ship as soon as possible.,20723
10691,2026-06-05,2026-06-28,2026-06-08,Shipped,,24708
10692,2024-11-09,2024-11-27,2024-11-16,Resolved,Priority customer — rush order.,21790
10693,2025-04-02,2025-05-02,,On Hold,,20686
10694,2024-01-12,2024-01-23,,On Hold,,23045
10695,2022-12-10,2022-12-18,2022-12-16,Shipped,Call before delivery.,20357
10696,2024-10-26,2024-11-12,2024-10-29,Disputed,Fragile items — handle with care.,20328
10697,2024-11-15,2024-12-13,,Cancelled,,23811
10698,2022-06-02,2022-06-11,2022-06-07,Resolved,Customer will pick up at warehouse.,21571
10699,2022-01-31,2022-02-13,2022-02-01,Shipped,Replacement for damaged order.,20081
10700,2023-07-27,2023-08-17,,In Process,,20059
10701,2025-06-29,2025-07-06,2025-07-02,Shipped,,23340
10702,2024-11-21,2024-12-04,2024-11-30,Shipped,Replacement for damaged order.,20495
10703,2023-09-15,2023-09-23,2023-09-21,Shipped,Gift wrapping requested.,23209
10704,2024-01-31,2024-02-26,2024-02-10,Resolved,Partial shipment approved by customer.,21928
10705,2022-02-24,2022-03-22,2022-03-04,Shipped,,21438
10706,2022-05-03,2022-05-28,2022-05-06,Shipped,Customer will pick up at warehouse.,22002
10707,2025-08-27,2025-09-16,2025-09-02,Disputed,Customer will pick up at warehouse.,22597
10708,2023-05-19,2023-06-12,,Cancelled,,24120
10709,2024-06-28,2024-07-15,,In Process,Replacement for damaged order.,24442
10710,2026-07-15,2026-07-24,2026-07-20,Shipped,,22707
10711,2022-01-14,2022-02-13,2022-01-15,Shipped,,23096
10712,2023-11-27,2023-12-10,2023-11-28,Shipped,,21396
10713,2024-05-09,2024-05-29,,Cancelled,Special discount applied.,23531
10714,2024-03-17,2024-04-13,,On Hold,,21383
10715,2022-06-01,2022-06-19,,On Hold,,21114
10716,2025-04-22,2025-04-29,,On Hold,Priority customer — rush order.,24629
10717,2026-06-27,2026-07-08,2026-07-04,Shipped,International shipment — customs docs needed.,20585
10718,2025-01-17,2025-02-03,2025-01-20,Shipped,,23733
10719,2022-11-23,2022-12-11,2022-12-01,Shipped,Verified credit before processing.,23698
10720,2023-08-08,2023-08-29,,Cancelled,Priority customer — rush order.,21794
10721,2022-05-23,2022-06-15,2022-06-02,Shipped,,21491
10722,2023-12-12,2023-12-21,,In Process,,23702
10723,2025-05-14,2025-05-31,2025-05-17,Shipped,Priority customer — rush order.,22786
10724,2023-10-18,2023-11-12,2023-10-25,Shipped,,22684
10725,2025-10-12,2025-10-30,2025-10-16,Shipped,,20154
10726,2024-01-27,2024-02-03,,Cancelled,Fragile items — handle with care.,20427
10727,2024-01-20,2024-01-29,2024-01-30,Shipped,,20265
10728,2024-07-30,2024-08-10,2024-08-09,Shipped,Backorder — ship when available.,21310
10729,2022-11-27,2022-12-21,2022-12-07,Shipped,,21568
10730,2024-06-03,2024-06-10,2024-06-11,Shipped,Hold for customer confirmation.,23218
10731,2026-02-21,2026-03-10,2026-02-24,Shipped,Hold for customer confirmation.,22661
10732,2022-03-07,2022-04-03,2022-03-14,Shipped,Verified credit before processing.,22283
10733,2024-08-04,2024-08-24,2024-08-08,Resolved,Customer requested expedited shipping.,21578
10734,2025-12-04,2025-12-13,,Cancelled,,22455
10735,2022-01-29,2022-02-25,2022-02-03,Shipped,Hold for customer confirmation.,21482
10736,2022-10-20,2022-11-07,2022-10-24,Shipped,Partial shipment approved by customer.,22246
10737,2024-08-20,2024-09-09,,On Hold,Priority customer — rush order.,20278
10738,2025-05-12,2025-05-25,2025-05-14,Shipped,,22171
10739,2022-06-08,2022-07-02,,In Process,Call before delivery.,23477
10740,2024-01-21,2024-01-29,2024-01-25,Resolved,Customer requested expedited shipping.,21655
10741,2023-07-15,2023-08-02,,On Hold,Hold for customer confirmation.,24092
10742,2023-06-10,2023-06-29,2023-06-20,Shipped,Check stock before processing.,20396
10743,2024-07-10,2024-07-27,2024-07-16,Resolved,,21090
10744,2026-01-04,2026-01-13,2026-01-05,Shipped,,21911
10745,2025-10-03,2025-10-12,2025-10-13,Shipped,Partial shipment approved by customer.,23919
10746,2025-09-10,2025-09-25,2025-09-19,Shipped,Call before delivery.,23801
10747,2024-01-10,2024-01-23,2024-01-18,Shipped,Priority customer — rush order.,23979
10748,2024-01-27,2024-02-23,2024-02-05,Disputed,Partial shipment approved by customer.,22524
10749,2026-05-21,2026-06-17,2026-05-22,Shipped,Customer requested expedited shipping.,22433
10750,2025-11-25,2025-12-15,2025-11-29,Shipped,Partial shipment approved by customer.,20030
10751,2022-12-31,2023-01-09,2023-01-07,Shipped,Backorder — ship when available.,24875
10752,2023-02-28,2023-03-08,,Cancelled,,23693
10753,2023-11-08,2023-12-05,,In Process,International shipment — customs docs needed.,23452
10754,2025-02-13,2025-03-09,,In Process,Customer will pick up at warehouse.,22759
10755,2023-12-20,2024-01-11,,Cancelled,Replacement for damaged order.,23573
10756,2025-07-21,2025-08-09,,Cancelled,,22936
10757,2026-05-22,2026-06-13,,In Process,Customer requested expedited shipping.,23033
10758,2023-10-31,2023-11-30,,On Hold,Fragile items — handle with care.,24841
10759,2025-05-12,2025-05-23,,On Hold,,21830
10760,2024-01-23,2024-02-16,,On Hold,Gift wrapping requested.,24540
10761,2023-02-10,2023-02-25,2023-02-17,Shipped,Please ship as soon as possible.,20114
10762,2025-06-18,2025-06-27,2025-06-23,Shipped,Gift wrapping requested.,24259
10763,2024-10-07,2024-10-31,2024-10-10,Shipped,Customer will pick up at warehouse.,23414
10764,2026-02-02,2026-02-09,,On Hold,Gift wrapping requested.,20631
10765,2026-06-17,2026-07-01,2026-06-21,Shipped,Replacement for damaged order.,23597
10766,2022-03-04,2022-03-21,2022-03-07,Shipped,Priority customer — rush order.,22437
10767,2025-10-14,2025-11-02,2025-10-18,Resolved,Hold for customer confirmation.,23148
10768,2025-05-03,2025-05-25,2025-05-11,Shipped,,22923
10769,2025-06-19,2025-07-16,2025-06-22,Shipped,Partial shipment approved by customer.,23167
10770,2024-04-16,2024-05-15,2024-04-21,Resolved,Verified credit before processing.,22652
10771,2023-03-30,2023-04-06,2023-04-02,Shipped,,24584
10772,2022-04-06,2022-04-29,,On Hold,International shipment — customs docs needed.,23159
10773,2022-11-19,2022-12-02,,Cancelled,Replacement for damaged order.,20979
10774,2023-05-17,2023-06-12,2023-05-26,Shipped,,21505
10775,2025-10-29,2025-11-15,,On Hold,Call before delivery.,21278
10776,2026-01-28,2026-02-10,2026-02-01,Shipped,Customer requested expedited shipping.,20297
10777,2022-12-11,2023-01-04,,In Process,,24310
10778,2023-02-23,2023-03-19,2023-03-02,Shipped,Priority customer — rush order.,22410
10779,2024-04-16,2024-05-14,2024-04-25,Resolved,,24475
10780,2023-01-01,2023-01-12,,In Process,Special discount applied.,20928
10781,2025-01-13,2025-02-07,,Cancelled,Customer will pick up at warehouse.,23178
10782,2024-05-07,2024-05-28,,Cancelled,Verified credit before processing.,20507
10783,2022-03-20,2022-04-15,2022-03-22,Shipped,Special discount applied.,24835
10784,2024-01-16,2024-02-12,2024-01-21,Disputed,Hold for customer confirmation.,20182
10785,2022-09-13,2022-09-30,,Cancelled,Special discount applied.,24970
10786,2024-02-03,2024-03-02,,Cancelled,Backorder — ship when available.,23440
10787,2022-11-02,2022-11-17,2022-11-09,Shipped,Call before delivery.,23054
10788,2025-08-18,2025-09-12,2025-08-23,Disputed,Replacement for damaged order.,23368
10789,2023-01-20,2023-01-29,,In Process,Replacement for damaged order.,20615
10790,2023-08-01,2023-08-24,2023-08-02,Shipped,,23319
